TEST Match No,Match ID,Match Name,Series ID,Series Name,Match Start Date,Match End Date,Match Format,Team1 ID,Team1 Name,Team1 Captain,Innings1 Team1 Runs Scored,Innings1 Team1 Wickets Fell,Innings1 Team1 Extras Rec,Innings2 Team1 Runs Scored,Innings2 Team1 Wickets Fell,Innings2 Team1 Extras Rec,Team2 ID,Team2 Name,Team2 Captain,Innings1 Team2 Runs Scored,Innings1 Team2 Wickets Fell,Innings1 Team2 Extras Rec,Innings2 Team2 Runs Scored,Innings2 Team2 Wickets Fell,Innings2 Team2 Extras Rec,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Umpire 1,Umpire 2,Match Referee,Toss Winner,Toss Winner Choice,Match Winner,Match Result Text,MOM Player,Team1 Playing 11,Team2 Playing 11,Debut Players
2385,1187685,New Zealand Vs India 1St Test,1195334,India in New Zealand  - 2020 (2019/20),2020-02-21,2020-02-24,TEST,6,India,49752,165,10,4,191.0,10.0,2.0,5,New Zealand,51088,348.0,10.0,8.0,9.0,0.0,0.0,Basin Reserve,Wellington,New Zealand,Aleem Dar,RA Kettleborough,RS Madugalle,New Zealand,bowl,New Zealand,New Zealand won by 10 wickets,49108.0,"['95315', '59599', '17752', '49752', '51096', '62182', '86165', '12894', '49327', '63646', '70640']","['59148', '61839', '51088', '44930', '66842', '47492', '47231', '49108', '70691', '69539', '51092']",['70691']
2387,1187686,New Zealand Vs India 2Nd Test,1195334,India in New Zealand  - 2020 (2019/20),2020-02-29,2020-03-02,TEST,6,India,49752,242,10,15,124.0,10.0,21.0,5,New Zealand,51088,235.0,10.0,24.0,132.0,3.0,10.0,Hagley Oval,Christchurch,New Zealand,MA Gough,RA Kettleborough,RS Madugalle,New Zealand,bowl,New Zealand,New Zealand won by 7 wickets,70691.0,"['95315', '59599', '17752', '49752', '51096', '62182', '86165', '49247', '58274', '63646', '70640']","['59148', '61839', '51088', '44930', '66842', '47492', '47231', '49108', '70691', '49219', '51092']",[]
2396,1223869,Australia Vs India 1St Test,1195334,India in Australia  - 2020 (2020/21),2020-12-17,2020-12-19,TEST,6,India,49752,244,10,18,36.0,9.0,0.0,2,Australia,34747,191.0,10.0,3.0,93.0,2.0,2.0,Adelaide Oval,Adelaide,Australia,BNJ Oxenford,PR Reiffel,DC Boon,India,bat,Australia,Australia won by 8 wickets,34747.0,"['95315', '59599', '17752', '49752', '51096', '62182', '51216', '12894', '58274', '70640', '63646']","['49024', '54337', '78285', '50281', '66190', '96335', '34747', '64244', '53330', '50724', '51367']",['96335']
2398,1223870,Australia Vs India 2Nd Test,1195334,India in Australia  - 2020 (2020/21),2020-12-26,2020-12-29,TEST,2,Australia,34747,195,10,14,200.0,10.0,8.0,6,India,51096,326.0,10.0,22.0,70.0,2.0,0.0,Melbourne Cricket Ground,Melbourne,Australia,BNJ Oxenford,PR Reiffel,DC Boon,Australia,bat,India,India won by 8 wickets,51096.0,"['54337', '49024', '78285', '50281', '66190', '96335', '34747', '64244', '53330', '50724', '51367']","['59599', '95316', '17752', '51096', '62182', '86165', '49247', '12894', '58274', '70640', '87477']","['87477', '95316']"
2402,1223871,Australia Vs India 3Rd Test,1195334,India in Australia  - 2020 (2020/21),2021-01-07,2021-01-11,TEST,2,Australia,34747,338,10,10,312.0,6.0,8.0,6,India,51096,244.0,10.0,9.0,334.0,5.0,11.0,Sydney Cricket Ground,Sydney,Australia,PR Reiffel,P Wilson,DC Boon,Australia,bat,,Match drawn,50281.0,"['77475', '48739', '78285', '50281', '49024', '96335', '34747', '64244', '53330', '50724', '51367']","['48405', '95316', '17752', '51096', '62182', '86165', '49247', '12894', '74633', '70640', '87477']","['74633', '77475']"
2404,1223872,Australia Vs India 4Th Test,1195334,India in Australia  - 2020 (2020/21),2021-01-15,2021-01-19,TEST,2,Australia,34747,369,10,20,294.0,10.0,13.0,6,India,51096,336.0,10.0,14.0,329.0,7.0,29.0,Brisbane Cricket Ground,Brisbane,Australia,BNJ Oxenford,P Wilson,DC Boon,Australia,bat,India,India won by 3 wickets,86165.0,"['48739', '61569', '78285', '50281', '49024', '96335', '34747', '64244', '53330', '50724', '51367']","['48405', '95316', '17752', '51096', '59599', '86165', '75311', '63477', '74633', '87477', '79597']","['79597', '75311']"
2409,1243384,India Vs England 1St Test,1195334,England tour of India  - 2021 (2020/21),2021-02-05,2021-02-09,TEST,1,England,52656,578,10,45,178.0,10.0,7.0,6,India,49752,337.0,10.0,6.0,192.0,10.0,14.0,MA Chidambaram Stadium,Chennai,India,AK Chaudhary,Nitin Menon,J Srinath,England,bat,England,England won by 227 runs,52656.0,"['59611', '65480', '71305', '52656', '53320', '83357', '53271', '71499', '72379', '62431', '10829']","['48405', '95316', '17752', '49752', '51096', '86165', '75311', '12894', '15308', '49327', '70640']",[]
2411,1243385,India Vs England 2Nd Test,1195334,England tour of India  - 2021 (2020/21),2021-02-13,2021-02-16,TEST,6,India,49752,329,10,0,286.0,10.0,20.0,1,England,52656,134.0,10.0,9.0,164.0,10.0,7.0,MA Chidambaram Stadium,Chennai,India,Nitin Menon,VK Sharma,J Srinath,India,bat,India,India won by 317 runs,12894.0,"['48405', '95316', '17752', '49752', '51096', '86165', '12894', '67455', '49327', '67609', '87477']","['59611', '65480', '71305', '52656', '53320', '83357', '57839', '46597', '62459', '62431', '48440']",['67455']
2412,1243386,India Vs England 3Rd Test,1195334,England tour of India  - 2021 (2020/21),2021-02-24,2021-02-25,TEST,1,England,52656,112,10,6,81.0,10.0,0.0,6,India,49752,145.0,10.0,5.0,49.0,0.0,9.0,Narendra Modi Stadium,Ahmedabad,India,AK Chaudhary,Nitin Menon,J Srinath,England,bat,India,India won by 10 wickets,67455.0,"['72167', '65480', '52161', '52656', '53320', '83357', '57839', '72379', '62431', '48440', '10829']","['48405', '95316', '17752', '49752', '51096', '86165', '12894', '75311', '67455', '49327', '70640']",[]
2414,1243387,India Vs England 4Th Test,1195334,England tour of India  - 2021 (2020/21),2021-03-04,2021-03-06,TEST,1,England,52656,205,10,10,135.0,10.0,12.0,6,India,49752,365.0,10.0,19.0,,,,Narendra Modi Stadium,Ahmedabad,India,Nitin Menon,VK Sharma,J Srinath,England,bat,India,India won by an innings and 25 runs,86165.0,"['72167', '65480', '52161', '52656', '53320', '83357', '71305', '57839', '71499', '62431', '10829']","['95316', '48405', '17752', '49752', '51096', '86165', '12894', '75311', '67455', '49327', '87477']",[]
